,A̱o,Tiempo_promedio_entre_accidentes
0,1908,
1,1909,355.0
2,1912,1039.0
3,1913,154.0
4,1915,343.0
5,1916,90.4
6,1917,46.57142857142857
7,1918,105.5
8,1919,40.0
9,1920,21.055555555555557
10,1921,28.833333333333332
11,1922,27.923076923076923
12,1923,29.692307692307693
13,1924,52.285714285714285
14,1925,29.545454545454547
15,1926,30.53846153846154
16,1927,19.0
17,1928,10.166666666666666
18,1929,9.333333333333334
19,1930,13.23076923076923
20,1931,11.727272727272727
21,1932,12.892857142857142
22,1933,13.178571428571429
23,1934,11.806451612903226
24,1935,8.69047619047619
25,1936,7.24
26,1937,10.055555555555555
27,1938,6.303571428571429
28,1939,12.566666666666666
29,1940,14.64
30,1941,13.703703703703704
31,1942,9.368421052631579
32,1943,8.5
33,1944,6.285714285714286
34,1945,5.066666666666666
35,1946,4.125
36,1947,4.451219512195122
37,1948,4.730769230769231
38,1949,5.432835820895522
39,1950,5.140845070422535
40,1951,4.88
41,1952,5.615384615384615
42,1953,5.085714285714285
43,1954,6.147540983606557
44,1955,6.228070175438597
45,1956,7.09433962264151
46,1957,5.53030303030303
47,1958,5.352941176470588
48,1959,5.545454545454546
49,1960,5.1571428571428575
50,1961,6.271186440677966
51,1962,4.653846153846154
52,1963,5.515625
53,1964,6.423728813559322
54,1965,5.484375
55,1966,6.322033898305085
56,1967,6.396551724137931
57,1968,5.6461538461538465
58,1969,5.173913043478261
59,1970,5.109589041095891
60,1971,6.172413793103448
61,1972,4.8441558441558445
62,1973,5.65625
63,1974,6.310344827586207
64,1975,7.098039215686274
65,1976,6.508771929824562
66,1977,5.761904761904762
67,1978,7.137254901960785
68,1979,6.0
69,1980,8.133333333333333
70,1981,7.2
71,1982,6.87037037037037
72,1983,7.604166666666667
73,1984,7.604166666666667
74,1985,6.660714285714286
75,1986,7.078431372549019
76,1987,6.814814814814815
77,1988,5.578125
78,1989,4.506024096385542
79,1990,5.590163934426229
80,1991,5.6231884057971016
81,1992,5.4393939393939394
82,1993,6.589285714285714
83,1994,4.972972972972973
84,1995,5.966666666666667
85,1996,5.411764705882353
86,1997,6.642857142857143
87,1998,6.101694915254237
88,1999,5.935483870967742
89,2000,5.523809523809524
90,2001,6.551724137931035
91,2002,6.654545454545454
92,2003,5.854838709677419
93,2004,7.6521739130434785
94,2005,8.377777777777778
95,2006,9.263157894736842
96,2007,8.372093023255815
97,2008,7.470588235294118
98,2009,7.478260869565218
99,2010,9.525
100,2011,10.444444444444445
101,2012,14.192307692307692
102,2013,14.48
103,2014,15.956521739130435
104,2015,18.38888888888889
105,2016,17.26086956521739
106,2017,24.733333333333334
107,2018,16.31578947368421
108,2019,32.0
109,2020,34.125
110,2021,40.57142857142857
